trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,1,-106.12318066099964,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.43348430090823,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,10,-139.42128332117588,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.7234103034182,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-249.2103069422877,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 5}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.18915908514535,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.73529095944205,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-80.21301097526545,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.9251431557987,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.18966378902996,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.94378988345621,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,16,-43.44634981970514,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.02154562022162,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.75617722952393,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.41956146064788,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.58943558112793,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,14,-3.0950107973810095,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.08023363537329,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.03021343946401,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.2394216874074,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.71044915390392,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-162.52645064739946,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-192.59408136202245,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.34221807734293,"{0: 16, 1: 2, 2: 3, 3: 4, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-152.38629208178665,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-148.85608341380208,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.881268662443475,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-336.29831477048066,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 6}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.78191708564142,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-237.3765417533882,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
